Index,종목코드,종목명,시장구분,연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액,주가,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
161.0,480.0,시알홀딩스,KOSPI,2016.0,12.0,비금속,1.33,-,"5,000","3,500",3.96,60.813,"4,000,000","11,375,000,000",8570.0,1.0,970226074870.0,634193596614 ,36009845643.0,7.36,714499501575.0,5.04,1.05
162.0,480.0,시알홀딩스,KOSPI,2017.0,12.0,비금속,1.62,-,"5,000","3,500",3.97,50.128,"4,000,000","11,375,000,000",8710.0,1.0,999226221711.0,653617504502 ,-3164361360.0,2.99,694333852105.0,-0.46,2.84
163.0,480.0,시알홀딩스,KOSPI,2018.0,12.0,비금속,2.41,-,"5,000","4,000",4.72,22.431,"4,000,000","13,000,000,000",8350.0,1.0,1030622204784.0,693699616563 ,39441106886.0,3.14,789176793334.0,5.0,2.59
164.0,480.0,시알홀딩스,KOSPI,2019.0,12.0,비금속,3.32,-,"5,000","4,000",4.49,40.355,"4,000,000","13,000,000,000",8880.0,1.0,1069059371954.0,703332446850 ,21328774779.0,3.73,757153217374.0,2.82,2.25
165.0,480.0,시알홀딩스,KOSPI,2020.0,12.0,비금속,2.01,-,"5,000","4,200",4.89,33.852,"4,000,000","13,440,000,000",8060.0,1.0,1246277915624.0,732645844038 ,22921569157.0,16.58,705226744013.0,3.25,2.24
166.0,480.0,시알홀딩스,KOSPI,2021.0,12.0,비금속,1.8,-,"5,000","4,500",5.37,43.119,"4,000,000","14,400,000,000",8100.0,1.0,1349335977271.0,788679464058 ,33138447600.0,8.27,746291404630.0,4.44,2.13
167.0,480.0,시알홀딩스,KOSPI,2022.0,12.0,비금속,2.01,-,"5,000","4,500",5.61,29.046,"4,000,000","14,400,000,000",7580.0,1.0,1620442052683.0,827063930862 ,22597868685.0,20.09,798039613255.0,2.83,1.0
168.0,480.0,시알홀딩스,KOSPI,2023.0,12.0,비금속,4.51,-,500,410,6.24,58.09,"46,890,490","15,601,735,813",6460.0,1.0,1621801858956.0,826684106817 ,39415273348.0,0.08,816904445534.0,4.82,0.94
170.0,490.0,대동,KOSPI,2016.0,12.0,기계·장비,1.46,-,"1,000",40,0.57,-4.613,"23,728,210","829,128,400",7150.0,1.0,667215742122.0,215148461659 ,-12977718071.0,-3.06,585413995108.0,-2.22,2.23
171.0,490.0,대동,KOSPI,2017.0,12.0,기계·장비,1.26,-,"1,000",60,0.6,12.621,"23,728,210","1,243,692,600",9600.0,1.0,730626224000.0,218897831285 ,17177382758.0,9.5,610103128049.0,2.82,2.55
172.0,490.0,대동,KOSPI,2018.0,12.0,기계·장비,1.38,-,"1,000",50,1,70.793,"23,728,210","1,036,410,500",5180.0,1.0,772716727753.0,217503766470 ,5219510812.0,5.76,654760355625.0,0.8,2.08
173.0,490.0,대동,KOSPI,2019.0,12.0,기계·장비,1.84,-,"1,000",60,1.1,41.429,"23,728,210","1,243,692,600",5680.0,1.0,816997551816.0,220811969864 ,24519412614.0,5.73,832931372725.0,2.94,2.09
174.0,490.0,대동,KOSPI,2020.0,12.0,기계·장비,1.23,-,"1,000",80,1.2,7.896,"23,728,210","1,658,256,800",6820.0,1.0,938726122031.0,328298573604 ,33135607128.0,14.9,895751424440.0,3.7,2.39
175.0,490.0,대동,KOSPI,2021.0,12.0,기계·장비,0.76,-,"1,000",80,0.8,4.783,"23,728,210","1,658,256,800",10100.0,1.0,1260639075992.0,385904527476 ,38206130770.0,34.29,1179193321819.0,3.24,1.12
176.0,490.0,대동,KOSPI,2022.0,12.0,기계·장비,1.49,-,"1,000",100,0.8,6.004,"23,932,354","2,309,784,300",12950.0,1.0,1713773205581.0,471990756298 ,88279120517.0,35.94,1463737929724.0,6.03,1.87
177.0,490.0,대동,KOSPI,2023.0,12.0,기계·장비,1.13,-,"1,000",100,0.6,19.966,"25,392,588","2,379,923,300",17020.0,1.0,1956376110942.0,577059698865 ,65403445106.0,14.16,1433390777280.0,4.56,1.24
179.0,500.0,가온전선,KOSPI,2016.0,12.0,전기·전자,1.06,-,"5,000",600,2.7,59.071,"4,160,347","2,356,330,200",18323.0,1.0,519225688902.0,264573040947 ,16800018902.0,-0.24,749444962711.0,2.24,0.69
180.0,500.0,가온전선,KOSPI,2017.0,12.0,전기·전자,0.97,-,"5,000",600,2.8,162.058,"4,160,347","2,356,330,200",18942.0,1.0,538955918306.0,260114964581 ,7863304491.0,3.8,836979323369.0,0.94,0.68
181.0,500.0,가온전선,KOSPI,2018.0,12.0,전기·전자,1.92,-,"5,000",600,3.5,"2,380.13","4,160,347","2,356,330,200",14031.0,1.0,526494275213.0,260405860114 ,5172922704.0,-2.31,840654318393.0,0.62,0.7
182.0,500.0,가온전선,KOSPI,2019.0,12.0,전기·전자,2.14,-,"5,000",600,2.4,43.175,"4,160,347","2,358,629,400",19231.0,1.0,512573535099.0,256728214727 ,7118670092.0,-2.64,830264391828.0,0.86,0.63
