종목코드,연도,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
024940,2015,1,44591275829.0,29427226608.0,1869130981.0,,74519448732.0,2.51,
024940,2016,1,51363537690.0,30946133850.0,2170437522.0,15.19,76146752402.0,2.85,
024940,2017,1,48628437552.0,32146166275.0,1563901289.0,-5.32,67111332558.0,2.33,0.24
024940,2018,1,48526282379.0,33108216896.0,888293015.0,-0.21,61842455200.0,1.44,0.26
024940,2019,1,52445650574.0,38278485299.0,-1344581315.0,8.08,54592806441.0,-2.46,0.6
024940,2020,1,49131386214.0,39546554026.0,503769538.0,-6.32,57693667086.0,0.87,2.18
024940,2021,1,54011181048.0,44710791837.0,2296284646.0,9.93,58410347708.0,3.93,2.08
024940,2022,1,54456397396.0,46249451023.0,1401691670.0,0.82,57639296614.0,2.43,2.36
024940,2023,1,55426861052.0,48019054609.0,2091164821.0,1.78,57230803245.0,3.65,2.37
024950,2015,1,129367700326.0,98722242401.0,14965051661.0,,126743718923.0,11.81,
024950,2016,1,160770840550.0,103484715785.0,5792236200.0,24.27,142772045569.0,4.06,
024950,2017,1,167136245562.0,104023115567.0,253901887.0,3.96,111058055985.0,0.23,5.48
024950,2018,0,161804733705.0,89035947268.0,-16980300348.0,-3.19,79612479299.0,-21.33,5.9
024950,2019,0,146726691011.0,79517144265.0,-8241460328.0,-9.32,87105783517.0,-9.46,14.19
024950,2020,1,126893302002.0,93421590493.0,10903084302.0,-13.52,120849937238.0,9.02,12.82
024950,2021,1,122865943771.0,99006334872.0,10845931913.0,-3.17,127268431960.0,8.52,12.05
024950,2022,0,142666966956.0,93421112243.0,1139154482.0,16.12,116235211617.0,0.98,12.89
024950,2023,0,271350680444.0,157350843465.0,-6290389338.0,90.2,106783297522.0,-5.89,12.94
025000,2015,2,507600642741.0,406601021399.0,48839738500.0,,743948673377.0,6.56,
025000,2016,2,531964308344.0,430009282275.0,44285686949.0,4.8,647361932266.0,6.84,
025000,2017,2,548114232165.0,442814148484.0,29975307922.0,3.04,703676901916.0,4.26,0.2
025000,2018,2,535273094088.0,443651300781.0,23850343982.0,-2.34,766681967916.0,3.11,1.42
025000,2019,2,537885808227.0,476062518944.0,48429544337.0,0.49,765712141954.0,6.32,1.81
025000,2020,2,637003840185.0,533630980893.0,64118011388.0,18.43,746662323231.0,8.59,1.64
025000,2021,2,777143203509.0,578068145968.0,44680350533.0,22.0,1020786100790.0,4.38,2.16
025000,2022,2,776778116811.0,595186627464.0,46513085397.0,-0.05,983579558669.0,4.73,2.16
025000,2023,2,822466228845.0,646572706120.0,58387011998.0,5.88,911119635067.0,6.41,2.11
025530,2015,1,260302123643.0,216234925662.0,23545361589.0,,185141913515.0,12.72,
