종목코드,연도,영업이익률,영업이익률 표준편차
000650,2022,-19.66,15.44
000650,2023,-11.7,14.44
000660,2015,28.39,
000660,2016,19.05,6.6
000660,2017,45.57,13.45
000660,2018,51.54,15.04
000660,2019,10.05,17.48
000660,2020,15.71,18.81
000660,2021,28.86,18.09
000660,2022,15.26,16.74
000660,2023,-23.59,19.63
000670,2015,-0.21,
000670,2016,-0.16,0.04
000670,2017,4.28,2.58
000670,2018,-3.67,3.26
000670,2019,2.74,3.07
000670,2020,1.47,3.05
000670,2021,-0.75,3.11
000670,2022,1.55,2.54
000670,2023,-4.51,2.87
000680,2015,-8.44,
000680,2016,-11.96,2.49
000680,2017,0.63,6.5
000680,2018,0.86,6.48
000680,2019,-5.35,5.62
000680,2020,-9.64,5.83
000680,2021,1.1,4.83
000680,2022,2.21,5.12
000680,2023,3.06,5.53
000700,2015,13.01,
000700,2016,4.12,6.29
000700,2017,13.36,5.24
000700,2018,8.48,4.36
000700,2023,6.15,
000720,2015,5.66,
000720,2016,6.16,0.35
000720,2017,5.84,0.25
000720,2018,5.02,0.48
000720,2019,4.98,0.52
000720,2020,3.23,1.14
000720,2021,4.17,0.99
000720,2022,2.71,1.03
000720,2023,2.65,1.01
000850,2015,5.56,
000850,2016,2.39,2.24
000850,2017,5.28,1.75
000850,2018,3.97,1.45
000850,2019,3.33,1.33
000850,2020,0.88,1.66
000850,2021,1.63,1.78
000850,2022,3.35,1.31
000850,2023,2.02,1.08
000860,2015,9.51,
000860,2016,9.44,0.05
000860,2017,5.03,2.57
000860,2018,0.55,4.27
000860,2019,-0.59,4.77
000860,2020,0.8,4.16
000860,2021,-2.15,2.67
000860,2022,0.65,1.25
000860,2023,3.63,2.13
000880,2015,1.83,
000880,2016,3.58,1.24
000880,2017,4.28,1.26
000880,2018,3.71,1.06
000880,2019,2.23,1.04
000880,2020,3.11,0.77
000880,2021,5.54,1.25
000880,2022,4.04,1.23
000880,2023,4.54,1.28
000910,2015,0.31,
000910,2016,1.82,1.07
000910,2017,0.26,0.89
000910,2018,-0.34,0.92
000910,2019,5.13,2.21
000910,2020,4.13,2.38
000910,2021,2.4,2.37
000910,2022,1.23,2.19
000910,2023,-0.89,2.38
000950,2015,-4.43,
000950,2016,-6.21,1.26
000950,2017,-9.95,2.82
000950,2018,-5.84,2.36
000950,2019,-22.18,7.26
000950,2020,-17.08,7.16
000950,2021,5.5,10.68
000950,2022,-28.06,13.41
000950,2023,-34.34,15.26
000970,2015,3.28,
000970,2016,3.94,0.47
000970,2017,6.53,1.72
000970,2018,4.56,1.4
000970,2019,1.58,1.81
000970,2020,3.46,1.79
000970,2021,9.52,3.04
000970,2022,2.89,3.06
000970,2023,4.47,3.06
000990,2015,18.75,
000990,2016,22.3,2.51
000990,2017,21.07,1.8
000990,2018,16.88,2.41
000990,2019,22.45,2.41
000990,2020,25.57,3.14
000990,2021,32.86,5.97
000990,2022,45.89,11.2
000990,2023,23.0,9.83
001040,2015,5.79,
001040,2016,5.23,0.4
001040,2017,4.93,0.44
001040,2018,4.51,0.54
001040,2019,4.47,0.55
001040,2020,4.34,0.37
001040,2021,5.46,0.46
001040,2022,5.26,0.51
001040,2023,4.93,0.49
001060,2015,4.96,
001060,2016,5.25,0.21
001060,2017,4.32,0.48
001060,2018,4.02,0.57
001060,2019,-3.72,3.77
001060,2020,-0.24,3.8
001060,2021,5.14,3.78
001060,2022,9.2,4.99
001060,2023,13.4,6.92
001070,2015,1.76,
001070,2016,0.49,0.9
001070,2017,-4.76,3.46
001070,2018,-6.42,3.97
001070,2019,-8.3,4.38
001070,2020,2.03,4.46
001070,2021,2.7,5.02
001070,2022,-2.03,4.92
001070,2023,-1.21,4.38
001080,2015,2.94,
001080,2016,2.5,0.31
001080,2017,1.35,0.82
001080,2018,0.92,0.95
001080,2019,-0.65,1.42
001080,2020,-0.19,1.25
001080,2021,0.64,0.82
001080,2022,0.08,0.63
001080,2023,-3.49,1.62
001120,2015,0.62,
001120,2017,1.65,0.73
001120,2018,1.66,0.6
001120,2019,1.28,0.49
001120,2020,1.42,0.19
001120,2021,3.93,1.1
001120,2022,5.15,1.75
001120,2023,2.98,1.65
001130,2015,5.73,
001130,2016,5.47,0.18
001130,2017,4.46,0.67
001130,2018,3.79,0.9
001130,2020,2.37,1.3
001130,2021,2.25,1.08
001130,2022,3.16,0.72
001130,2023,3.81,0.73
001140,2015,-2.69,
001140,2016,0.23,2.06
001140,2017,-5.03,2.64
001140,2018,-7.4,3.26
001140,2019,-1.09,3.06
001140,2020,-9.83,4.21
001140,2021,-8.27,3.4
001140,2022,-13.71,4.59
001140,2023,-25.49,8.97
001230,2015,3.39,
001230,2016,5.13,1.23
001230,2017,3.99,0.88
001230,2018,2.43,1.13
001230,2019,2.91,1.05
001230,2020,5.66,1.39
001230,2021,11.09,3.51
001230,2022,8.74,3.73
001230,2023,3.26,3.54
001250,2015,1.28,
001250,2016,1.43,0.11
001250,2017,1.42,0.08
001250,2018,1.38,0.07
001250,2019,1.5,0.08
001250,2020,1.15,0.13
001250,2021,1.01,0.2
001250,2022,1.39,0.2
001250,2023,1.95,0.36
001340,2015,2.88,
001340,2016,3.98,0.78
001340,2017,6.24,1.71
001340,2018,15.66,5.82
001340,2019,12.59,5.59
001340,2020,7.31,4.82
001340,2021,9.38,3.88
001340,2022,12.15,3.2
001340,2023,7.6,2.48
001390,2015,4.47,
001390,2016,5.17,0.49
001390,2017,6.93,1.27
001390,2018,5.65,1.04
001390,2019,5.7,0.9
001390,2020,6.59,0.73
001390,2021,9.47,1.56
001390,2022,7.58,1.59
001390,2023,4.95,1.76
001420,2015,0.8,
001420,2016,4.65,2.72
001420,2017,1.04,2.16
001420,2018,0.21,2.01
001420,2019,0.31,1.85
001420,2020,-3.93,3.05
001420,2021,-3.34,2.31
001420,2022,-4.79,2.4
001420,2023,-8.8,3.26
001430,2015,8.8,
001430,2016,5.67,2.21
001430,2017,6.17,1.68
001430,2018,1.7,2.93
001430,2019,1.49,3.13
001430,2020,-0.13,2.78
001430,2021,6.53,3.01
001430,2022,2.91,2.5
001430,2023,4.82,2.64
001460,2015,11.6,
001460,2016,7.63,2.81
001460,2017,8.79,2.04
001460,2018,10.79,1.82
001460,2019,13.71,2.39
001460,2020,14.17,2.9
001460,2021,16.24,2.94
001460,2022,14.93,2.02
001460,2023,16.33,1.19
001520,2015,8.95,
001520,2016,1.74,5.1
001520,2017,1.41,4.26
001520,2018,0.14,3.99
001520,2019,-3.73,4.6
001520,2020,-2.53,2.43
001520,2021,1.09,2.29
001520,2022,1.03,2.2
001520,2023,3.06,2.81
001530,2015,1.35,
