종목코드,연도,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
000020,2015,1,317187030052.0,230117742425.0,4812973681.0,,223201285434.0,2.16,
000020,2016,1,324604536650.0,252925299902.0,11259333902.0,2.34,237470834801.0,4.74,
000020,2017,1,367225133428.0,296944728429.0,10987308187.0,13.13,258881616575.0,4.24,1.82
000020,2018,1,370599242793.0,297400651562.0,11225780035.0,0.92,306602589029.0,3.66,1.37
000020,2019,1,376028553041.0,300874594398.0,9917746256.0,1.47,307150025786.0,3.23,1.12
000020,2020,1,433807800192.0,342682240439.0,23153371156.0,15.37,272075383799.0,8.51,0.99
000020,2021,1,447804486939.0,360133219794.0,22496350976.0,3.23,293018112028.0,7.68,2.11
000020,2022,1,461136459052.0,378673250961.0,29915077882.0,2.98,340426327300.0,8.79,2.45
000020,2023,1,564972408621.0,407056365747.0,18775880121.0,22.52,361108562008.0,5.2,2.71
000050,2015,1,1318643312104.0,662952917600.0,38961511221.0,,357628146446.0,10.89,
000050,2016,1,1301910959501.0,679843399077.0,43436568980.0,-1.27,377445013363.0,11.51,
000050,2017,1,1274042237155.0,699134073068.0,42309231903.0,-2.14,360788750428.0,11.73,0.44
000050,2018,1,1301792841122.0,708769346768.0,40979750900.0,2.18,351438925710.0,11.66,0.44
000050,2019,1,1370742491338.0,741553199073.0,32020529934.0,5.3,343892084610.0,9.31,0.38
000050,2020,1,1264902051181.0,741929807617.0,21853996547.0,-7.72,329224740782.0,6.64,1.01
000050,2021,1,1270805118229.0,752146420062.0,53796815200.0,0.47,383357144805.0,14.03,2.22
000050,2022,1,1248318313535.0,755008459357.0,31895306272.0,-1.77,389227582838.0,8.19,2.81
000050,2023,1,1206860950940.0,738045543935.0,15968826403.0,-3.32,393518958996.0,4.06,2.92
000070,2015,1,3071422000000.0,1796363000000.0,106724000000.0,,2176562000000.0,4.9,
000070,2016,1,3169445000000.0,1850632000000.0,141013000000.0,3.19,2311465000000.0,6.1,
000070,2017,1,3261056000000.0,1930015000000.0,98828000000.0,2.89,2396290000000.0,4.12,0.85
000070,2018,1,3313797000000.0,2001942000000.0,138458000000.0,1.62,2563476000000.0,5.4,1.0
000070,2019,1,3589514000000.0,2029507000000.0,79376000000.0,8.32,2488563000000.0,3.19,0.83
000070,2020,1,3893565000000.0,2155787000000.0,170336000000.0,8.47,2471226000000.0,6.89,1.13
000070,2021,1,4460589000000.0,2425407000000.0,351700000000.0,14.56,3107313000000.0,11.32,1.49
000070,2022,1,4547781000000.0,2523511000000.0,132324000000.0,1.95,3316778000000.0,3.99,3.19
000070,2023,1,5136660179005.0,2796536317013.0,94802726814.0,12.95,3210853491794.0,2.95,3.21
000080,2015,1,3460482406084.0,1324599999169.0,133987373328.0,,1907480759547.0,7.02,
000080,2016,1,3401085182093.0,1291903197732.0,124005913762.0,-1.72,1890232768003.0,6.56,
000080,2017,1,3507595838307.0,1217509273471.0,87249748641.0,3.13,1889910216355.0,4.62,0.33
000080,2018,1,3428143514612.0,1162378534563.0,90442082687.0,-2.27,1885626108724.0,4.8,1.27
