종목코드,연도,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
093320,2015,1,52405870039.0,49326695440.0,7097706178.0,,42125554896.0,16.85,
093320,2016,1,60245918772.0,55012574744.0,7800074515.0,14.96,44193723383.0,17.65,
093320,2017,1,65275232105.0,58738875415.0,9152446870.0,8.35,47286323558.0,19.36,0.57
093320,2018,1,77159848302.0,70441023803.0,13164857720.0,18.21,56304484787.0,23.38,1.28
093320,2019,1,104862165862.0,84552668525.0,16467445192.0,35.9,64639547326.0,25.48,2.91
093320,2020,1,142751143306.0,113057449077.0,17782412229.0,36.13,70440395777.0,25.24,3.74
093320,2021,1,167210652307.0,136470970189.0,19734224882.0,17.13,84460348323.0,23.37,3.54
093320,2022,1,197438187631.0,159642054100.0,25865716233.0,18.08,110928475556.0,23.32,2.45
093320,2023,1,254807359992.0,184718838111.0,26565751313.0,29.06,122686237442.0,21.65,1.1
093370,2015,0,261388268660.0,97994236017.0,15626870804.0,,215238475690.0,7.26,
093370,2016,0,315083346155.0,163378557186.0,36433577422.0,20.54,192073255877.0,18.97,
093370,2017,0,316114969405.0,208911445877.0,35482505923.0,0.33,248838269757.0,14.26,8.28
093370,2018,0,441480959551.0,245500451618.0,39591457357.0,39.66,274933667322.0,14.4,5.89
093370,2019,1,528907906027.0,242943810280.0,13436224564.0,19.8,248943837512.0,5.4,4.83
093370,2020,0,536123529177.0,241184639801.0,2806756006.0,1.36,261599806337.0,1.07,5.6
093370,2021,1,616334424036.0,283458550164.0,58138943581.0,14.96,381256774874.0,15.25,7.34
093370,2022,1,933755417033.0,415296152192.0,105370138192.0,51.5,610564329261.0,17.26,6.44
093370,2023,0,853376951920.0,331469581873.0,-46105756733.0,-8.61,523191899192.0,-8.81,7.04
093380,2015,1,86907260315.0,58020009388.0,1464468718.0,,89382644314.0,1.64,
093380,2016,1,91291862357.0,58534928942.0,2438906425.0,5.05,86337847410.0,2.82,
093380,2017,1,92357231634.0,60616641876.0,3130620793.0,1.17,83342389653.0,3.76,0.83
093380,2018,1,92732481640.0,60104856204.0,733967095.0,0.41,79043459883.0,0.93,1.06
093380,2019,1,88353178908.0,60985791693.0,1538434010.0,-4.72,81455151992.0,1.89,1.25
093380,2020,1,83181501095.0,60856540590.0,222891093.0,-5.85,63912779991.0,0.35,1.1
093380,2021,1,88816399596.0,65263067137.0,4220266899.0,6.77,76805148961.0,5.49,1.38
093380,2022,1,89226389219.0,69313318021.0,3012329509.0,0.46,83422538833.0,3.61,2.12
093380,2023,1,90996579882.0,73368268375.0,5238490101.0,1.98,97322976980.0,5.38,2.1
093520,2015,1,79015515685.0,40564542991.0,6730888903.0,,73526238829.0,9.15,
093520,2016,1,80310030113.0,41059759742.0,3489840355.0,1.64,67725369509.0,5.15,
093520,2017,1,84880295430.0,46959515347.0,10986359860.0,5.69,87364783101.0,12.58,2.83
093520,2018,1,87116653717.0,51802341301.0,12947920509.0,2.63,89614542859.0,14.45,3.72
093520,2019,1,101122964286.0,52413016592.0,5948929687.0,16.08,57482392326.0,10.35,4.09
093520,2020,1,95488530618.0,56236879697.0,9461969124.0,-5.57,86913046600.0,10.89,3.54
093520,2021,1,144971115200.0,79432837084.0,26018645884.0,51.82,140726734643.0,18.49,3.48
093520,2022,1,286558825773.0,93358591063.0,31451798059.0,97.67,193763490633.0,16.23,3.29
093520,2023,1,293692253534.0,102384342962.0,26349934797.0,2.49,175414376276.0,15.02,3.47
093920,2015,1,222183470263.0,157595001518.0,20888941471.0,,369618849054.0,5.65,
093920,2016,1,227223458060.0,164925977108.0,15153416772.0,2.27,357572858643.0,4.24,
093920,2017,1,196942719160.0,153695491568.0,9033437453.0,-13.33,284134788083.0,3.18,1.0
093920,2018,1,192294125078.0,153196546997.0,5105981945.0,-2.36,246968048528.0,2.07,1.24
093920,2019,1,201386875984.0,160839139143.0,16903712098.0,4.73,302903887367.0,5.58,1.53
093920,2020,1,208631773310.0,171957935545.0,18497623596.0,3.6,315619375140.0,5.86,1.55
093920,2021,1,218399590084.0,181001249673.0,13455266970.0,4.68,288547884243.0,4.66,1.6
093920,2022,1,239068973548.0,197713715825.0,22560152834.0,9.46,316789922430.0,7.12,1.61
093920,2023,1,231963239688.0,204908548760.0,9986462505.0,-2.97,262811619114.0,3.8,1.89
094170,2015,1,43445926000.0,35373285000.0,8299961000.0,,56872562000.0,14.59,
094170,2016,1,42756175129.0,32761903877.0,1467793033.0,-1.59,54673627266.0,2.68,
094170,2017,1,42933844466.0,26544496713.0,-1799001036.0,0.42,54989112313.0,-3.27,8.42
094170,2018,1,41671770715.0,20645425758.0,-6280844943.0,-2.94,46698555191.0,-13.45,9.09
094170,2019,1,54041007948.0,24723873730.0,-2188813475.0,29.68,54763967033.0,-4.0,11.71
094170,2020,1,70231514851.0,29880992851.0,2323651138.0,29.96,70719105589.0,3.29,10.31
094170,2021,1,63198431373.0,20415067696.0,-15794804610.0,-10.01,50661220735.0,-31.18,6.75
094170,2022,0,63045438547.0,21156162298.0,-6259568862.0,-0.24,50138173079.0,-12.48,13.4
094170,2023,1,86416952669.0,60711547241.0,25107570805.0,37.07,111486613090.0,22.52,12.91
094280,2015,1,120185170717.0,50616749308.0,11132861059.0,,315749790808.0,3.53,
094280,2016,1,122365581490.0,53121656750.0,11290291447.0,1.81,340357540412.0,3.32,
094280,2017,1,147514109825.0,62448299290.0,12214703138.0,20.55,395024483749.0,3.09,0.15
094280,2018,1,121415205503.0,47773273535.0,11336665253.0,-17.69,402109944431.0,2.82,0.22
094280,2019,1,159341636763.0,51727277283.0,13026206983.0,31.24,388240100339.0,3.36,0.31
094280,2020,4,161698569724.0,49424888593.0,16812254864.0,1.48,484119583520.0,3.47,0.28
094280,2021,4,241404764480.0,103319403267.0,20287985472.0,49.29,475904429382.0,4.26,0.26
094280,2022,4,176818736427.0,65748556887.0,22323153949.0,-26.75,511266620347.0,4.37,0.54
094280,2023,4,176284813736.0,70214000455.0,19190293316.0,-0.3,503774955158.0,3.81,0.65
094360,2015,1,27612999475.0,25385481625.0,2347560982.0,,12049114417.0,19.48,
094360,2016,1,31641418880.0,29203985742.0,2807134263.0,14.59,13680081491.0,20.52,
094360,2017,0,29007462341.0,26521262711.0,-1512790142.0,-8.32,9055717578.0,-16.71,0.74
094360,2018,1,31857434626.0,28544039262.0,2022901277.0,9.82,14147250500.0,14.3,21.2
094360,2019,1,35860268795.0,32093452730.0,3594631528.0,12.56,16148209650.0,22.26,17.62
094360,2020,1,39769436594.0,32614800310.0,2380813796.0,10.9,15400622758.0,15.46,16.3
094360,2021,1,45938180838.0,37971514311.0,5199382483.0,15.51,19979567098.0,26.02,15.94
094360,2022,1,63075719986.0,41970882397.0,7303027730.0,37.31,24092742406.0,30.31,16.9
094360,2023,0,77989299429.0,70464015297.0,7769441247.0,23.64,27627400828.0,28.12,6.83
094480,2015,0,124025960304.0,47009125020.0,2408919125.0,,39584970743.0,6.09,
094480,2016,1,143345214450.0,53299887921.0,4704669000.0,15.58,53853718546.0,8.74,
094480,2017,1,183457161324.0,64403110654.0,3975934920.0,27.98,69129594333.0,5.75,1.87
