종목코드,연도,배당횟수,총자산,장부가치 자기자본,세후영업이익,총자산변화율,총매출액,영업이익률,영업이익률 표준편차
360070,2023,1,203246903281.0,155585835429.0,13789507906.0,67.42,122198212216.0,11.28,
361390,2020,0,28671898274.0,8199734306.0,2498825136.0,,34089085736.0,7.33,
361390,2021,1,63136726726.0,31205864209.0,4284777299.0,120.2,45639344424.0,9.39,
361390,2022,1,63349152361.0,33814471591.0,3151122885.0,0.34,50704825056.0,6.21,1.46
361390,2023,1,66250551718.0,34840308520.0,1151079040.0,4.58,55112129394.0,2.09,1.61
363280,2020,0,2003567746330.0,1292784350019.0,1606673530.0,,92898822796.0,1.73,
363280,2021,0,2132174282569.0,1423671832747.0,11235068662.0,6.42,295210018480.0,3.81,
363280,2022,1,2282963063406.0,1546364261837.0,22355020055.0,7.07,353623807392.0,6.32,1.47
363280,2023,0,2316936129612.0,973830564536.0,-354083133260.0,1.49,325391952440.0,-108.82,2.3
365330,2023,1,79948493974.0,46233163956.0,14600825047.0,,119756583109.0,12.19,
366030,2021,0,31550790825.0,27118796156.0,10327067405.0,,47319807509.0,21.82,
366030,2022,1,63198047494.0,59297313004.0,12661735582.0,100.31,58686880114.0,21.58,
366030,2023,1,69576562374.0,66168082478.0,10512863283.0,10.09,53009477352.0,19.83,0.17
368770,2022,0,39702377410.0,29123290283.0,3418167444.0,,18829443327.0,18.15,
368770,2023,1,40704009174.0,32009954201.0,2616602601.0,2.52,19386431576.0,13.5,
372170,2022,1,277569868997.0,137753214067.0,32072532646.0,,210275586398.0,15.25,
372170,2023,1,345920494183.0,161189665745.0,26473951396.0,24.62,312881434759.0,8.46,
373170,2023,1,29869515514.0,23071223820.0,1756064734.0,,24152183801.0,7.27,
373200,2022,1,29235791167.0,14511048040.0,-77049104.0,,16485049082.0,-0.47,
373200,2023,0,32886653783.0,5014599333.0,-3703454492.0,12.49,9776117626.0,-37.88,
375500,2021,1,8701690202744.0,4497147166036.0,957257982914.0,,7631650898582.0,12.54,
375500,2022,1,8974717444285.0,4692476509428.0,496965230080.0,3.14,7496823679468.0,6.63,
375500,2023,1,9344058758180.0,4768781215299.0,330659390232.0,4.12,7991063616680.0,4.14,4.18
376290,2021,1,136793025436.0,101496525785.0,19896187024.0,,263845323563.0,7.54,
376290,2022,1,144333703461.0,101155167879.0,4603329633.0,5.51,216440887837.0,2.13,
